model,repeat,fold,n_train_records,n_test_records,n_train_subjects,n_test_subjects,accuracy,balanced_accuracy,macro_f1,roc_auc
logistic_regression,1,1,223,56,132,33,0.5714285714285714,0.5927601809954751,0.5573122529644269,0.6892911010558069
svm_rbf,1,1,223,56,132,33,0.6071428571428571,0.6349924585218703,0.5942028985507246,0.7239819004524887
knn_7,1,1,223,56,132,33,0.5714285714285714,0.5761689291101055,0.5508021390374331,0.6478129713423831
random_forest,1,1,223,56,132,33,0.6607142857142857,0.6070889894419307,0.6051948051948052,0.6636500754147813
extra_trees,1,1,223,56,132,33,0.625,0.5814479638009049,0.5762162162162162,0.6764705882352942
gradient_boosting,1,1,223,56,132,33,0.6607142857142857,0.5739064856711915,0.5762644364794902,0.645550527903469
logistic_regression,1,2,223,56,131,34,0.6964285714285714,0.6593567251461989,0.6569369369369369,0.8099415204678362
svm_rbf,1,2,223,56,131,34,0.875,0.8201754385964912,0.8438868976503384,0.9122807017543859
knn_7,1,2,223,56,131,34,0.7857142857142857,0.7836257309941521,0.7666666666666666,0.8771929824561403
random_forest,1,2,223,56,131,34,0.7857142857142857,0.6812865497076024,0.6994633273703041,0.8567251461988303
extra_trees,1,2,223,56,131,34,0.8035714285714286,0.7236842105263157,0.7440797673452431,0.8757309941520468
gradient_boosting,1,2,223,56,131,34,0.8035714285714286,0.7236842105263157,0.7440797673452431,0.8450292397660819
logistic_regression,1,3,223,56,133,32,0.7857142857142857,0.7797888386123679,0.7610241820768137,0.830316742081448
svm_rbf,1,3,223,56,133,32,0.7678571428571429,0.7669683257918551,0.7442922374429224,0.8001508295625943
knn_7,1,3,223,56,133,32,0.6428571428571429,0.6772247360482655,0.6310935441370225,0.6711915535444948
random_forest,1,3,223,56,133,32,0.8214285714285714,0.7888386123680242,0.7888386123680242,0.8227752639517345
extra_trees,1,3,223,56,133,32,0.75,0.7043740573152337,0.7043740573152337,0.7805429864253394
